tvg-name	group-title	tvg-logo	tvg-id	url
1 TV	TV			https://tv.cdn.xsg.ge/gpb-1tv/index.m3u8
101TV Malaga	TV			https://limited38.todostreaming.es/live/101tv-web101tv.m3u8
1Music Hungary	TV			http://1music.hu/1music.m3u8
2 TV	TV			https://tv.cdn.xsg.ge/gpb-2tv/index.m3u8
24 TV	TV			https://turkmedya-live.ercdn.net/tv24/tv24_480p.m3u8
24h	TV			https://rtvelivestreamv3.akamaized.net/24h/24h_main_dvr.m3u8
24h Canarias	TV			https://ztnr.rtve.es/ztnr/5473142.m3u8
30A TV	TV			https://30a-tv.com/my999.m3u8
30A TV MUSIC	TV			https://30a-tv.com/music.m3u8
4E TV	TV			http://eu2.tv4e.gr:554/live/smil:myStream.sdp.smil/playlist.m3u8
4Fun TV	TV			https://stream.4fun.tv:8888/hls/4f_high/index.m3u8
7kanal-odessa	TV			https://cdn10.live-tv.cloud/7tvod/7tvod-abr-lq/7tvod/7tvod-sub/chunks.m3u8
8 TV (RU)	TV			https://v4.proofix.ru/8tv-europe/tracks-v1a1/mono.m3u8
a7TV	TV			https://play.streamkit.tv/content/channel/aseventv/live/aseventv.player.m3u8
Abu Dhabi TV	TV			https://admdn2ta.cdn.mangomolo.com/adtv/smil:adtv.stream.smil/chunklist.m3u8
Action 24 Greece HD	TV			http://dai.ly/x61fbhs
Ajyal tv	TV			http://htvajyal.mada.ps:8888/ajyal/tracks-v1a1/mono.m3u8
Al Jazeera Arabic Qatar QA	TV			https://live-hls-web-aja.getaj.net/AJA/index.m3u8
Al Jazeera Balkans (1080p)	TV			https://live-hls-web-ajb.getaj.net/AJB/index.m3u8
Al Jazeera Live	TV			https://live-hls-web-aje.getaj.net/AJE/index.m3u8
Alcarria TV	TV			https://cls.alcarria.tv/live/alcarriatv-livestream.m3u8
Aleph News	TV			https://stream-aleph.m.ro/Aleph/ngrp:Alephnewsmain.stream_all/playlist.m3u8
Aljazeera HD	TV			https://live-hls-web-aja.getaj.net/AJA/01.m3u8
AlmamlkaTV HD	TV			https://almamlka-live.ercdn.net/almamlka/almamlka_1080p.m3u8
Alsharqiya Tv	TV			rtmp://ns8.indexforce.com/alsharqiyalive/mystream
Alsharqiya Tv	TV			rtmp://ns8.indexforce.com/home/mystream
ALTV	TV			https://thaipbs-ujxrch.cdn.byteark.com/live/playlist.m3u8
Alvin_Channel.tv	TV			http://cdn10-alvinchannel.yayin.com.tr/alvinchannel/alvinchannel/playlist.m3u8
Angel TV America	TV			https://cdn3.wowza.com/5/TDJ0aWNkNXFxWWta/angeltvcloud/ngrp:angelamerica_all/chunklist_b1431072.m3u8
ANN news	TV			https://youtu.be/coYw-eVU0Ks
Aragon TV	TV			https://cartv.streaming.aranova.es/hls/live/aragontv_canal1.m3u8
Arirang	TV			https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
ARTE HD	TV			https://artesimulcast.akamaized.net/hls/live/2030993/artelive_de/master_v720.m3u8
asianet news	TV			https://vidcdn.vidgyor.com/asianet-origin/liveabr/asianet-origin/live2/chunks.m3u8
ATV	TV			http://streamservers.atv.hu/atvlive/atvstream_1_aac/playlist.m3u8
AUTO BILD TV	TV			https://auto-bild.personalstream.tv/v1/bildde/master.m3u8
Auto Moto TV	TV			http://100automoto.tv:1935/bgtv1/Stream1/playlist.m3u8
automoto/tv	TV			http://100automoto.tv:1935/bgtv1/autotv/playlist.m3u8
AYV	TV			https://1219373429.rsc.cdn77.org/live/stream-1/chunklist.m3u8
Azerbaijan_News.tv	TV			https://edge1.socialsmart.tv/aznews/smil/playlist.m3u8
baden tv sued	TV			https://cdn.icu.de/rtplive/smil:btvsued.smil/playlist.m3u8
baden-tv	TV			http://cdn.icu.de/rtplive/btv.stream/chunklist_w574389438.m3u8
baku.tv	TV			https://rtmp.baku.tv/live/bakutv_720p.m3u8
Balaton TV	TV			https://stream.iptvservice.eu/hls/balatontv.m3u8
balkanweb.com/news24	TV			https://tv.balkanweb.com/news24/livestream/playlist.m3u8
Banat TV	TV			https://www.btv.ro/hls/banat-tv.m3u8
Banovina TV	TV			rtmp://video.radio-banovina.hr/live/myStream
baraza tv greek music 3	TV			https://eco.streams.ovh/BarazaTV/BarazarazaTV/BarazaTV/playlist.m3u8
barazatv hd	TV			https://eco.streams.ovh:443/BarazaTV/BarazaTV/playlist.m3u8
barazatv hd dance & pop music	TV			https://video1.getstreamhosting.com:1936/8490/8490/playlist.m3u8
bbc.com/news/world	TV			http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/Stream(01)/index.m3u8
Bip TV	TV			https://biptv.tv/live/biptvstream_orig/index.m3u8
BLK Regional TV	TV			https://h056.video-stream-hosting.de/medienasa-live/_definst_/mp4:BLKonline_high/playlist.m3u8
bnptv	TV			mms://bnptv.info:10801/
Bonce TV	TV			https://seswa.bonce.tv/hls/bonceswa.m3u8
BR Fernsehen Nord HD	TV			https://mcdn.br.de/br/fs/bfs_nord/hls/de/master.m3u8
BR Fernsehen Süd HD	TV			https://mcdn.br.de/br/fs/bfs_sued/hls/de/master.m3u8
BritAsia TV	TV			https://dai.ly/x6s18p8
Bucovina TV	TV			http://46.4.14.12:9999/btvsvlive/playlist.m3u8
Budakalasz	TV			https://stream.streaming4u.hu/TVBudakalasz/tracks-v1a1/mono.m3u8
Bulgaria on air	TV			http://lb-hls.cdn.bg/2006/fls/bonair.stream/playlist.m3u8
BX1	TV			https://59959724487e3.streamlock.net/stream/live/chunklist_w1203497461.m3u8
Canal 10 Chetumal [Mexico]	TV			https://canal10.mediaflix.istream.mx/wza_live/live/movil/playlist.m3u8
Canalcosta TV	TV			https://5d8d85cf2c308.streamlock.net:1936/CanalcostaTV/WXP6YT/playlist.m3u8
Canale 7 [ITALY]	TV			http://wms.shared.streamshow.it:1935/canale7/canale7/live.m3u8?IPTVCOTIA
CATVE HD	TV			http://wowza4.catve.com.br:1935/live/livestream/playlist.m3u8?CANAISGLAU
Catve HD	TV			http://wowza4.catve.com.br:1935/live/livestream/playlist.m3u8?IPTVCOTIA++++
CBN NEWS	TV			https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
CGTN Français	TV			https://news.cgtn.com/resource/live/french/cgtn-f.m3u8
ch4teen clip	TV			http://ch14.tv/live/ch4teenclip/playlist.m3u8
Ch4teen Documentary	TV			http://ch14.tv/live/ch4teendoc/playlist.m3u8
ch4teen kids	TV			http://ch14.tv/live/ch4teenkids/playlist.m3u8
ch4teen quran	TV			http://ch14.tv/live/ch4teenquran/playlist.m3u8
ch4teen1	TV			http://ch14.tv/live/ch4teen1/playlist.m3u8
Chaula TV	TV			https://video.chaula.tv/hls/live/high/playlist_high.m3u8
Chaula TV Rīga	TV			https://video.chaula.tv/hls/live/playlist.m3u8
Chaula TV Rīga	TV			http://video.chaula.tv/hls/live/high/playlist_high.m3u8
city.bg/tv	TV			https://tv.city.bg/play/tshls/citytv/2.m3u8
clubbingtv.com	TV			https://clubbingtv-rakuten.amagi.tv/playlist720_p.m3u8
CNA SAT TV	TV			rtmp://str81.creacast.com:80/cna/live.sdp
cna tv	TV			https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
